latitude,longitude,latitude
39.87,-105.297,39.87
39.639,-104.769,39.639
39.754,-105.016,39.754
39.245,-104.589,39.245
39.993,-104.817,39.993
39.681,-105.496,39.681
39.672,-105.347,39.672
39.562,-105.019,39.562
39.499,-104.776,39.499
39.376,-104.846,39.376
40.035,-105.541,40.035
40.018,-105.404,40.018
39.992,-105.153,39.992
40.148,-105.39,40.148
40.221,-105.369,40.221
39.768,-104.869,39.768
44.3747,-70.3172,44.3747
41.9972,-72.2722,41.9972
43.05,-72.7,43.05
37.51,-90.33,37.51
39.19,-84.21,39.19
46.3,-63.1,46.3
32.58,-97.35,32.58
29.749,-95.581,29.749
28.2,-80.6,28.2
38.54,-90.31,38.54
30.74,-88.26,30.74
33.40766,-111.57276,33.40766
33.58,-86.05,33.58
33.89,-118.13,33.89
32.64,-117.083,32.64
34.69,-118.18,34.69
40.59,-122.39,40.59
38.54231,-121.3695,38.54231
35.26,-120.71,35.26
37.06,-121.61,37.06
37.98,-122.52,37.98
40.09,-105.34,40.09
38.3,-104.57,38.3
39.64,-106.09,39.64
37.23,-121.81,37.23
26.5032,-80.0661,26.5032
28.484,-80.803,28.484
27.8,-80.48,27.8
34.04,-83.83,34.04
34.0,-84.0,34.0
34.45,-84.57,34.45
34.01422,-84.357376,34.01422
40.75,-95.64,40.75
41.32,-93.56,41.32
40.49,-88.99,40.49
43.15,-93.2,43.15
38.3,-85.96,38.3
38.89,-94.75,38.89
42.41,-71.15,42.41
44.81,-93.31,44.81
46.783,-92.106,46.783
44.47,-94.81,44.47
45.306,-93.794,45.306
36.45,-89.92,36.45
35.28,-81.68,35.28
41.68,-96.55,41.68
40.79,-96.63,40.79
41.12,-96.11,41.12
41.2,-74.43,41.2
36.69,-108.5,36.69
33.362,-105.654,33.362
36.0,-83.98,36.0
41.82,-74.67,41.82
41.17,-73.96,41.17
41.15095,-74.19721,41.15095
42.078,-76.02,42.078
40.01,-83.11,40.01
45.32,-122.58,45.32
45.354,-122.842,45.354
44.75,-122.94,44.75
39.994,-75.365,39.994
40.1507,-75.0801,40.1507
40.05,-76.5,40.05
40.036,-75.514,40.036
18.42,-66.06,18.42
41.23,-80.5,41.23
34.872116,-82.28625,34.872116
44.0449,-103.233,44.0449
35.91,-86.88,35.91
30.297329,-97.77294,30.297329
30.35,-97.74,30.35
30.207014,-97.937225,30.207014
33.154,-97.064,33.154
29.598364,-95.106544,29.598364
33.51,-96.61,33.51
27.95,-97.77,27.95
30.5844,-97.4156,30.5844
30.07,-95.7,30.07
37.77,-79.45,37.77
37.18,-77.5,37.18
38.46285,-77.46338,38.46285
45.6036,-122.4779,45.6036
45.71,-122.62,45.71
41.91,-70.93,41.91
41.37,-73.23,41.37
39.13,-119.74,39.13
35.85,-78.17,35.85
34.5,-117.96,34.5
44.503,-72.219,44.503
33.69,-78.89,33.69
35.05,-85.31,35.05
39.8,-75.68,39.8
36.31,-82.35,36.31
30.6701,-88.1156,30.6701
30.16,-85.66,30.16
49.78,-97.2,49.78
45.25,-69.0167,45.25
39.87,-105.297,39.87
39.639,-104.769,39.639
39.754,-105.016,39.754
39.245,-104.589,39.245
39.993,-104.817,39.993
39.681,-105.496,39.681
39.672,-105.347,39.672
39.562,-105.019,39.562
39.499,-104.776,39.499
39.376,-104.846,39.376
40.035,-105.541,40.035
40.018,-105.404,40.018
39.992,-105.153,39.992
40.148,-105.39,40.148
40.221,-105.369,40.221
39.768,-104.869,39.768
43.63869,-95.11854,43.63869
43.66305,-94.12244,43.66305
45.83765,-95.36622,45.83765
47.8544,-92.04811,47.8544
46.68822,-93.95449,46.68822
44.94926,-95.40952,44.94926
48.57236,-96.91488,48.57236
48.81951,-95.96101,48.81951
48.60179,-93.37344,48.60179
47.86831,-96.91684,47.86831
47.37123,-94.47964,47.37123
44.28482,-91.98967,44.28482
44.4833,-69.4833,44.4833
45.0833,-71.2833,45.0833
47.24,-68.6136,47.24
43.8,-70.1667,43.8
34.19972,-110.11917,34.19972
31.76111,-109.34861,31.76111
32.31667,-110.81334,32.31667
35.99,-112.12,35.99
41.1,-123.63333,41.1
37.32917,-121.29389,37.32917
39.92778,-122.65694,39.92778
32.99028,-116.06694,32.99028
37.30528,-122.25389,37.30528
37.71194,-121.81361,37.71194
40.46333,-123.5239,40.46333
33.7625,-117.48278,33.7625
37.35167,-107.915,37.35167
42.35917,-116.69222,42.35917
31.01667,-93.18694,31.01667
32.30889,-89.49,32.30889
30.84889,-89.03416,30.84889
47.53611,-113.71722,47.53611
45.58416,-109.85166,45.58416
44.66778,-111.10056,44.66778
47.26972,-114.91611,47.26972
45.15694,-109.36056,45.15694
45.16722,-111.35083,45.16722
34.33611,-78.72861,34.33611
40.17306,-115.48555,40.17306
43.52333,-121.81334,43.52333
42.63139,-121.55972,42.63139
42.57694,-121.89361,42.57694
44.31583,-121.60555,44.31583
44.81417,-117.72889,44.81417
42.97639,-121.42194,42.97639
43.51528,-119.2925,43.51528
42.4075,-122.19139,42.4075
45.07083,-119.49,45.07083
