latitude,longitude,latitude
34.28,-78.71,34.28
47.17,-88.5,47.17
44.12,-123.22,44.12
42.22,-75.98,42.22
47.17,-88.5,47.17
44.12,-123.22,44.12
34.25,-82.16,34.25
29.53,-98.47,29.53
34.05,-118.07,34.05
37.0,-101.9,37.0
70.32,-148.42,70.32
37.62,-114.52,37.62
47.33,-106.93,47.33
46.67,-113.15,46.67
35.67,-121.28,35.67
26.02,-111.35,26.02
27.97,-110.93,27.97
23.15,-109.7,23.15
32.55,-116.97,32.55
24.82,-107.4,24.82
23.17,-106.27,23.17
18.02,-66.57,18.02
61.43,-142.93,61.43
35.35,-89.87,35.35
31.8,-106.4,31.8
32.86,-109.63,32.86
41.42,-81.85,41.42
30.24,-98.91,30.24
31.62,-97.22,31.62
33.4,-118.42,33.4
35.7,-101.4,35.7
43.28,-70.93,43.28
41.98,-95.38,41.98
42.08,-80.18,42.08
41.45,-96.52,41.45
32.7,-97.05,32.7
38.07,-97.87,38.07
39.68,-75.6,39.68
41.78,-111.85,41.78
44.2,-72.57,44.2
33.68,-78.93,33.68
34.2,-119.2,34.2
43.65,-70.32,43.65
44.38,-74.2,44.38
34.02,-118.45,34.02
32.63,-108.15,32.63
34.22,-118.48,34.22
61.13,-146.35,61.13
40.5,-80.22,40.5
40.0,-82.88,40.0
44.88,-116.1,44.88
27.77,-97.5,27.77
36.9,-76.2,36.9
33.93,-118.4,33.93
44.02,-82.8,44.02
44.17,-114.93,44.17
42.75,-73.8,42.75
34.9,-120.45,34.9
41.73,-71.43,41.73
40.92,-81.43,40.92
41.93,-72.68,41.93
41.27,-80.67,41.27
65.25,-165.13,65.25
30.97,-84.64,30.97
34.8,-96.67,34.8
42.8,-72.0,42.8
41.4,-95.05,41.4
32.91,-104.5,32.91
44.58,-71.18,44.58
41.27,-95.77,41.27
37.08,-95.57,37.08
35.1,-97.97,35.1
36.62,-87.42,36.62
33.72,-96.67,33.72
42.25,-89.58,42.25
38.66,-88.45,38.66
34.78,-78.63,34.78
47.2,-119.32,47.2
42.57,-72.27,42.57
37.3,-95.5,37.3
41.92,-70.73,41.92
36.44,-99.52,36.44
42.95,-87.9,42.95
40.7,-74.17,40.7
39.05,-84.67,39.05
46.77,-100.75,46.77
40.65,-73.78,40.65
35.22,-80.93,35.22
43.2,-71.5,43.2
40.85,-74.07,40.85
40.65,-75.43,40.65
47.45,-87.9,47.45
30.32,-97.75,30.32
29.33,-89.4,29.33
38.37,-82.55,38.37
38.88,-79.85,38.88
31.83,-104.8,31.83
28.85,-96.92,28.85
61.98,-152.08,61.98
58.68,-156.65,58.68
65.17,-152.1,65.17
41.89,-71.02,41.89
38.95,-77.45,38.95
35.88,-78.79,35.88
40.77,-73.9,40.77
38.85,-77.03,38.85
30.5,-99.77,30.5
35.4,-97.6,35.4
32.97,-96.83,32.97
42.7,-73.17,42.7
37.3,-81.2,37.3
41.03,-93.37,41.03
41.68,-70.0,41.68
40.21,-87.6,40.21
37.15,-107.75,37.15
43.4,-94.75,43.4
42.55,-71.76,42.55
29.3,-94.8,29.3
40.46,-99.33,40.46
44.35,-71.55,44.35
41.58,-95.34,41.58
43.03,-102.5,43.03
41.73,-72.18,41.73
39.24,-102.29,39.24
38.5,-107.9,38.5
41.3,-95.9,41.3
44.05,-103.07,44.05
39.53,-107.72,39.53
43.38,-99.85,43.38
48.17,-103.6,48.17
38.75,-90.37,38.75
31.95,-102.22,31.95
35.23,-101.7,35.23
42.22,-75.98,42.22
37.77,-99.97,37.77
39.37,-101.7,39.37
41.13,-100.68,41.13
33.65,-84.42,33.65
37.23,-93.38,37.23
39.07,-88.53,39.07
31.53,-84.18,31.53
41.25,-70.07,41.25
40.98,-124.1,40.98
33.37,-81.97,33.37
33.95,-83.32,33.95
31.53,-82.5,31.53
42.0,-93.61,42.0
33.58,-85.85,33.58
40.3,-78.32,40.3
44.32,-69.8,44.32
42.15,-72.72,42.15
